2025-08-09 19:33:29.309 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 20:30:59.288 AUDIT INFO  projectSaveAs | features.fddi | project=/Users/vds/Desktop/features.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 20:30:59.292 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 20:31:03.551 AUDIT INFO  asyncSuccess | Opening | project= action=async:Opening node=New Program auditAction=asyncSuccess
2025-08-09 20:31:09.575 AUDIT INFO  asyncSuccess | Opening | project= action=async:Opening node=New Program auditAction=asyncSuccess
2025-08-09 20:31:37.641 AUDIT INFO  commandExecute | Move P to B | project= action=execute:Move P to B node= auditAction=commandExecute
2025-08-09 20:31:37.642 AUDIT INFO  nodeMove | Move P to B | project= action=execute:Move P to B node= auditAction=nodeMove
2025-08-09 20:31:37.642 AUDIT INFO  commandUndo | Move P to B | project= action=undo:Move P to B node= auditAction=commandUndo
2025-08-09 20:31:37.642 AUDIT INFO  commandRedo | Move P to B | project= action=redo:Move P to B node= auditAction=commandRedo
2025-08-09 20:43:55.404 AUDIT INFO  commandExecute | Add Project to New Program | project= action=execute:Add Project to New Program node=New Program auditAction=commandExecute
2025-08-09 20:43:59.210 AUDIT INFO  commandExecute | Add Aspect to New Project | project= action=execute:Add Aspect to New Project node=New Project auditAction=commandExecute
2025-08-09 20:44:02.263 AUDIT INFO  commandExecute | Add Subject to New Aspect | project= action=execute:Add Subject to New Aspect node=New Aspect auditAction=commandExecute
2025-08-09 20:44:05.864 AUDIT INFO  commandExecute | Add Activity to New Subject | project= action=execute:Add Activity to New Subject node=New Subject auditAction=commandExecute
2025-08-09 20:44:10.238 AUDIT INFO  commandExecute | Add Feature to New Activity | project= action=execute:Add Feature to New Activity node=New Activity auditAction=commandExecute
2025-08-09 20:44:20.408 AUDIT INFO  commandExecute | Add Feature to New Activity | project= action=execute:Add Feature to New Activity node=New Activity auditAction=commandExecute
2025-08-09 20:44:27.044 AUDIT INFO  commandExecute | Paste New Project | project= action=execute:Paste New Project node=New Program auditAction=commandExecute
2025-08-09 20:44:27.051 AUDIT INFO  nodePaste | Project | project= action= node=New Project auditAction=nodePaste
2025-08-09 20:44:29.642 AUDIT INFO  commandExecute | Paste New Project | project= action=execute:Paste New Project node=New Program auditAction=commandExecute
2025-08-09 20:44:29.651 AUDIT INFO  nodePaste | Project | project= action= node=New Project auditAction=nodePaste
2025-08-09 20:44:32.894 AUDIT INFO  commandExecute | Paste New Project | project= action=execute:Paste New Project node=New Program auditAction=commandExecute
2025-08-09 20:44:32.900 AUDIT INFO  nodePaste | Project | project= action= node=New Project auditAction=nodePaste
2025-08-09 20:46:27.659 AUDIT INFO  commandExecute | Move P to B | project= action=execute:Move P to B node= auditAction=commandExecute
2025-08-09 20:46:27.660 AUDIT INFO  nodeMove | Move P to B | project= action=execute:Move P to B node= auditAction=nodeMove
2025-08-09 20:46:27.660 AUDIT INFO  commandUndo | Move P to B | project= action=undo:Move P to B node= auditAction=commandUndo
2025-08-09 20:46:27.660 AUDIT INFO  commandRedo | Move P to B | project= action=redo:Move P to B node= auditAction=commandRedo
2025-08-09 20:46:40.773 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 20:46:46.696 AUDIT INFO  asyncCancelled | Opening | project= action=async:Opening node=New Program auditAction=asyncCancelled
2025-08-09 20:46:54.542 AUDIT INFO  commandExecute | Add Project to New Program | project= action=execute:Add Project to New Program node=New Program auditAction=commandExecute
2025-08-09 20:46:57.659 AUDIT INFO  commandExecute | Add Aspect to New Project | project= action=execute:Add Aspect to New Project node=New Project auditAction=commandExecute
2025-08-09 20:47:00.529 AUDIT INFO  commandExecute | Add Subject to New Aspect | project= action=execute:Add Subject to New Aspect node=New Aspect auditAction=commandExecute
2025-08-09 20:47:04.163 AUDIT INFO  commandExecute | Add Activity to New Subject | project= action=execute:Add Activity to New Subject node=New Subject auditAction=commandExecute
2025-08-09 20:47:07.112 AUDIT INFO  commandExecute | Add Feature to New Activity | project= action=execute:Add Feature to New Activity node=New Activity auditAction=commandExecute
2025-08-09 20:47:12.280 AUDIT INFO  commandExecute | Add Feature to New Activity | project= action=execute:Add Feature to New Activity node=New Activity auditAction=commandExecute
2025-08-09 20:47:17.136 AUDIT INFO  commandExecute | Add Feature to New Activity | project= action=execute:Add Feature to New Activity node=New Activity auditAction=commandExecute
2025-08-09 20:50:24.846 AUDIT INFO  asyncCancelled | Saving | project= action=async:Saving node=New Feature auditAction=asyncCancelled
2025-08-09 20:52:31.166 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 20:52:35.828 AUDIT INFO  asyncCancelled | Opening | project= action=async:Opening node=New Program auditAction=asyncCancelled
2025-08-09 21:09:01.921 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:10:26.404 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:10:43.677 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:11:29.959 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:11:43.592 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:14:15.888 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:14:16.061 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:14:16.743 AUDIT INFO  commandExecute | Move P to B | project= action=execute:Move P to B node=X auditAction=commandExecute
2025-08-09 21:14:16.743 AUDIT INFO  nodeMove | Move P to B | project= action=execute:Move P to B node=X auditAction=nodeMove
2025-08-09 21:14:16.743 AUDIT INFO  commandUndo | Move P to B | project= action=undo:Move P to B node=X auditAction=commandUndo
2025-08-09 21:14:16.743 AUDIT INFO  commandRedo | Move P to B | project= action=redo:Move P to B node=X auditAction=commandRedo
2025-08-09 21:14:53.679 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:15:08.446 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:16:14.582 AUDIT INFO  commandExecute | Move P to B | project= action=execute:Move P to B node=X auditAction=commandExecute
2025-08-09 21:16:14.582 AUDIT INFO  nodeMove | Move P to B | project= action=execute:Move P to B node=X auditAction=nodeMove
2025-08-09 21:16:14.582 AUDIT INFO  commandUndo | Move P to B | project= action=undo:Move P to B node=X auditAction=commandUndo
2025-08-09 21:16:14.583 AUDIT INFO  commandRedo | Move P to B | project= action=redo:Move P to B node=X auditAction=commandRedo
2025-08-09 21:18:09.657 AUDIT INFO  asyncSuccess | Test | project= action=async:Test node= auditAction=asyncSuccess
2025-08-09 21:18:09.746 AUDIT INFO  asyncSuccess | Loading | project= action=async:Loading node= auditAction=asyncSuccess
2025-08-09 21:18:09.783 AUDIT INFO  asyncFailure | Fail: RuntimeException | project= action=async:Fail node= auditAction=asyncFailure
2025-08-09 21:18:09.788 AUDIT INFO  projectNew | MyProg | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:18:09.789 AUDIT INFO  projectNew | ToOpen | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:18:09.865 AUDIT INFO  projectSaveAs | projopen15812926492288574087.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/projopen15812926492288574087.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:18:09.874 AUDIT INFO  projectOpen | projopen15812926492288574087.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/projopen15812926492288574087.fddi action=openProject node= auditAction=projectOpen
2025-08-09 21:18:09.875 AUDIT INFO  projectNew | Test | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:18:09.884 AUDIT INFO  projectSaveAs | projsvc4337732356280308232.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/projsvc4337732356280308232.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:18:09.991 AUDIT INFO  projectNew | Test2 | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:18:10.003 AUDIT INFO  projectSaveAs | projsvc28528031989504206343.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/projsvc28528031989504206343.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:18:10.013 AUDIT INFO  projectSave | projsvc28528031989504206343.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/projsvc28528031989504206343.fddi action=saveProject node= auditAction=projectSave
2025-08-09 21:18:10.014 AUDIT INFO  projectNew | X | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:18:26.978 AUDIT INFO  asyncSuccess | Test | project= action=async:Test node= auditAction=asyncSuccess
2025-08-09 21:18:27.242 AUDIT INFO  asyncSuccess | Loading | project= action=async:Loading node= auditAction=asyncSuccess
2025-08-09 21:18:27.372 AUDIT INFO  asyncFailure | Fail: RuntimeException | project= action=async:Fail node= auditAction=asyncFailure
2025-08-09 21:18:27.470 AUDIT INFO  projectNew | MyProg | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:18:27.538 AUDIT INFO  projectNew | ToOpen | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:18:28.789 AUDIT INFO  projectSaveAs | projopen5129960050313212573.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/projopen5129960050313212573.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:18:28.897 AUDIT INFO  projectOpen | projopen5129960050313212573.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/projopen5129960050313212573.fddi action=openProject node= auditAction=projectOpen
2025-08-09 21:18:28.899 AUDIT INFO  projectNew | Test | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:18:28.969 AUDIT INFO  projectSaveAs | projsvc4308995059496028365.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/projsvc4308995059496028365.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:18:29.113 AUDIT INFO  projectNew | Test2 | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:18:29.310 AUDIT INFO  projectSaveAs | projsvc21090636830575083448.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/projsvc21090636830575083448.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:18:29.437 AUDIT INFO  projectSave | projsvc21090636830575083448.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/projsvc21090636830575083448.fddi action=saveProject node= auditAction=projectSave
2025-08-09 21:18:29.498 AUDIT INFO  projectNew | X | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:19:02.412 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:19:09.800 AUDIT INFO  asyncCancelled | Opening | project= action=async:Opening node=New Program auditAction=asyncCancelled
2025-08-09 21:19:51.549 AUDIT INFO  commandExecute | Add Program to New Program | project= action=execute:Add Program to New Program node=New Program auditAction=commandExecute
2025-08-09 21:19:56.348 AUDIT INFO  commandExecute | Add Project to New Program | project= action=execute:Add Project to New Program node=New Program auditAction=commandExecute
2025-08-09 21:20:01.579 AUDIT INFO  commandExecute | Add Aspect to New Project | project= action=execute:Add Aspect to New Project node=New Project auditAction=commandExecute
2025-08-09 21:21:34.168 AUDIT INFO  asyncCancelled | Saving | project= action=async:Saving node=New Aspect auditAction=asyncCancelled
2025-08-09 21:23:23.816 AUDIT INFO  asyncCancelled | Saving | project= action=async:Saving node=New Aspect auditAction=asyncCancelled
2025-08-09 21:26:04.963 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:33:20.942 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:33:21.181 AUDIT INFO  projectSaveAs | fddtest-2f756a11-f9ce-46fa-afd7-b44c4b5de5c415509577097590096912.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-2f756a11-f9ce-46fa-afd7-b44c4b5de5c415509577097590096912.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:33:21.407 AUDIT INFO  projectSave | fddtest-2f756a11-f9ce-46fa-afd7-b44c4b5de5c415509577097590096912.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-2f756a11-f9ce-46fa-afd7-b44c4b5de5c415509577097590096912.fddi action=saveProject node= auditAction=projectSave
2025-08-09 21:33:21.523 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:34:46.189 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:34:55.078 AUDIT INFO  commandExecute | Add Program to New Program | project= action=execute:Add Program to New Program node=New Program auditAction=commandExecute
2025-08-09 21:35:00.294 AUDIT INFO  commandExecute | Add Project to New Program | project= action=execute:Add Project to New Program node=New Program auditAction=commandExecute
2025-08-09 21:35:03.197 AUDIT INFO  commandExecute | Add Aspect to New Project | project= action=execute:Add Aspect to New Project node=New Project auditAction=commandExecute
2025-08-09 21:35:06.156 AUDIT INFO  commandExecute | Add Subject to New Aspect | project= action=execute:Add Subject to New Aspect node=New Aspect auditAction=commandExecute
2025-08-09 21:35:09.229 AUDIT INFO  commandExecute | Add Activity to New Subject | project= action=execute:Add Activity to New Subject node=New Subject auditAction=commandExecute
2025-08-09 21:35:12.251 AUDIT INFO  commandExecute | Add Feature to New Activity | project= action=execute:Add Feature to New Activity node=New Activity auditAction=commandExecute
2025-08-09 21:35:30.813 AUDIT INFO  asyncCancelled | Saving As | project= action=async:Saving As node=New Feature auditAction=asyncCancelled
2025-08-09 21:35:57.825 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:35:57.963 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:35:58.209 AUDIT INFO  projectSaveAs | fddtest-c57c7972-12b5-46a8-a081-25c60fe9ce7d15408685464663144005.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-c57c7972-12b5-46a8-a081-25c60fe9ce7d15408685464663144005.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:35:58.441 AUDIT INFO  projectSave | fddtest-c57c7972-12b5-46a8-a081-25c60fe9ce7d15408685464663144005.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-c57c7972-12b5-46a8-a081-25c60fe9ce7d15408685464663144005.fddi action=saveProject node= auditAction=projectSave
2025-08-09 21:35:58.556 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:35:58.731 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:36:16.763 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:36:16.779 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:36:17.000 AUDIT INFO  projectSaveAs | fdd-mru-a17617731970752659987.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a17617731970752659987.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:36:17.006 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 21:36:17.113 AUDIT INFO  projectSave | fdd-mru-a17617731970752659987.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a17617731970752659987.fddi action=saveProject node= auditAction=projectSave
2025-08-09 21:36:17.113 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a17617731970752659987.fddi action=async:Saving node=New Program auditAction=asyncSuccess
2025-08-09 21:36:17.153 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:36:17.325 AUDIT INFO  projectSaveAs | fddtest-5db2c570-0163-44ba-a73c-f77b375a20953723427232100392410.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-5db2c570-0163-44ba-a73c-f77b375a20953723427232100392410.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:36:17.544 AUDIT INFO  projectSave | fddtest-5db2c570-0163-44ba-a73c-f77b375a20953723427232100392410.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fddtest-5db2c570-0163-44ba-a73c-f77b375a20953723427232100392410.fddi action=saveProject node= auditAction=projectSave
2025-08-09 21:36:17.653 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:36:17.659 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:36:17.664 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:36:17.828 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:36:17.951 AUDIT INFO  projectSaveAs | fdd-mru-order-a18156735903042416872.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-a18156735903042416872.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:36:17.952 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 21:36:18.095 AUDIT INFO  projectSaveAs | fdd-mru-order-b14359183002086146086.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-b14359183002086146086.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:36:18.096 AUDIT INFO  asyncSuccess | Saving As | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-order-a18156735903042416872.fddi action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 21:36:30.576 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:37:24.132 AUDIT INFO  commandExecute | Add Project to New Program | project= action=execute:Add Project to New Program node=New Program auditAction=commandExecute
2025-08-09 21:38:28.213 AUDIT INFO  projectSaveAs | t1.fddi | project=/Users/vds/Desktop/t1.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:38:28.221 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Project auditAction=asyncSuccess
2025-08-09 21:38:39.357 AUDIT INFO  projectOpen | t1.fddi | project=/Users/vds/Desktop/t1.fddi action=openProject node= auditAction=projectOpen
2025-08-09 21:38:46.417 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:38:50.672 AUDIT INFO  projectOpen | t1.fddi | project=/Users/vds/Desktop/t1.fddi action=openProject node= auditAction=projectOpen
2025-08-09 21:40:29.542 AUDIT INFO  commandExecute | Add Project to New Program | project=/Users/vds/Desktop/t1.fddi action=execute:Add Project to New Program node=New Program auditAction=commandExecute
2025-08-09 21:40:32.547 AUDIT INFO  commandExecute | Add Aspect to New Project | project=/Users/vds/Desktop/t1.fddi action=execute:Add Aspect to New Project node=New Project auditAction=commandExecute
2025-08-09 21:40:34.152 AUDIT INFO  asyncCancelled | Saving | project=/Users/vds/Desktop/t1.fddi action=async:Saving node=New Aspect auditAction=asyncCancelled
2025-08-09 21:42:33.837 AUDIT INFO  asyncCancelled | Saving As | project=/Users/vds/Desktop/t1.fddi action=async:Saving As node=New Aspect auditAction=asyncCancelled
2025-08-09 21:47:54.783 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:47:54.799 AUDIT INFO  projectNew | New Program | project=<unsaved> action=newProject node= auditAction=projectNew
2025-08-09 21:47:55.024 AUDIT INFO  projectSaveAs | fdd-mru-a12430797274407183442.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a12430797274407183442.fddi action=saveAsProject node= auditAction=projectSaveAs
2025-08-09 21:47:55.030 AUDIT INFO  asyncSuccess | Saving As | project= action=async:Saving As node=New Program auditAction=asyncSuccess
2025-08-09 21:47:55.148 AUDIT INFO  projectSave | fdd-mru-a12430797274407183442.fddi | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a12430797274407183442.fddi action=saveProject node= auditAction=projectSave
2025-08-09 21:47:55.148 AUDIT INFO  asyncSuccess | Saving | project=/var/folders/_p/z_z_y3qn0yl_5g7v1sybhcj00000gn/T/fdd-mru-a12430797274407183442.fddi action=async:Saving node=New Program auditAction=asyncSuccess
